,id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lat,lon
0,90561,"1318     ARKELL RD, WALNUT CREEK, CA, 94598",True,Exact,"1318 ARKELL RD, WALNUT CREEK, CA, 94598",192056811,R,06,013,338201,2014,37.93173529100005,-122.03558109
1,90560,"1318     APPALOOSA RD, BOULDER CITY, NV, 89005",True,Exact,"1318 APPALOOSA RD, BOULDER CITY, NV, 89005",202001209,L,32,003,005502,3012,35.971009611000056,-114.82007686199995
2,90321,"1317     3RD ST, ROSENBERG, TX, 77471",True,Exact,"1317 3RD ST, ROSENBERG, TX, 77471",78262999,R,48,157,675200,1029,29.55462093400007,-95.80661346899996
3,90563,"1318     ASHBY AVE, BERKELEY, CA, 94702",True,Exact,"1318 ASHBY AVE, BERKELEY, CA, 94702",124994288,R,06,001,424002,1003,37.85286267400005,-122.28320265599996
4,90320,"1317     37TH AVE, SAN FRANCISCO, CA, 94122",True,Exact,"1317 37TH AVE, SAN FRANCISCO, CA, 94122",192277358,R,06,075,035101,2001,37.76230908100007,-122.49639193299998
5,90562,"1318     ARMADALE AVE, LOS ANGELES, CA, 90042",True,Exact,"1318 ARMADALE AVE, LOS ANGELES, CA, 90042",141613733,R,06,037,183401,1008,34.11985685500008,-118.21297701399999
6,90323,"1317     ALAMEDA AVE, GLENDALE, CA, 91201",True,Exact,"1317 ALAMEDA AVE, GLENDALE, CA, 91201",141596093,L,06,037,301400,3013,34.18189136600006,-118.29199938799997
7,90565,"1318     BANCROFT WAY, BERKELEY, CA, 94702",True,Exact,"1318 BANCROFT WAY, BERKELEY, CA, 94702",635729365,R,06,001,423100,3002,37.86536008100006,-122.28524473199997
8,90322,"1317     ACACIA AVE, TORRANCE, CA, 90501",True,Exact,"1317 ACACIA AVE, TORRANCE, CA, 90501",142756888,R,06,037,650901,3011,33.83504133400004,-118.32623049099999
9,90564,"1318     B ST, HAYWARD, CA, 94541",True,Exact,"1318 B ST, HAYWARD, CA, 94541",125021193,L,06,001,435400,1009,37.67679044800008,-122.07725724399995
10,90325,"1317     ALVARADO TER, LOS ANGELES, CA, 90006",True,Exact,"1317 ALVARADO TER, LOS ANGELES, CA, 90006",141607178,R,06,037,224310,1002,34.04549252400005,-118.28052648899995
11,90567,"1318     BECKMAN CT, FULLERTON, CA, 92833",True,Exact,"1318 BECKMAN CT, FULLERTON, CA, 92833",609077840,L,06,059,001704,3031,33.88597255500002,-117.95301275799994
12,90324,"1317     ALBINA AVE, ALBANY, CA, 94706",True,Exact,"1317 ALBINA AVE, ALBANY, CA, 94706",652204973,L,06,001,421900,1001,37.88166855400004,-122.28384750999999
13,90566,"1318     BARBETTY WAY, BEAUMONT, CA, 92223",True,Exact,"1318 BARBETTY WAY, BEAUMONT, CA, 92223",626583790,L,06,065,043821,1025,33.943503976000045,-116.96141435599998
14,90316,"1317     15TH ST, SACRAMENTO, CA, 95814",True,Exact,"1317 15TH ST, SACRAMENTO, CA, 95814",133421891,L,06,067,001202,2001,38.57445037400004,-121.48827897199999
15,90558,"1318     AGATE ST, REDONDO BEACH, CA, 90277",True,Exact,"1318 AGATE ST, REDONDO BEACH, CA, 90277",141583787,R,06,037,621201,1001,33.856685309000056,-118.38032694499998
16,90315,"1317     12TH ST, SANTA MONICA, CA, 90401",True,Exact,"1317 12TH ST, SANTA MONICA, CA, 90401",141559330,L,06,037,701502,2007,34.02360870000007,-118.48879458999994
17,90557,"1318     44TH AVE, SAN FRANCISCO, CA, 94122",True,Exact,"1318 44TH AVE, SAN FRANCISCO, CA, 94122",192276836,L,06,075,035202,2000,37.76194816100008,-122.50387692199996
18,90799,"1319     HAVENHURST DR, WEST HOLLYWOOD, CA, 90046",True,Non_Exact,"1319 N HAVENHURST DR, W HOLLYWOOD, CA, 90046",241240240,L,06,037,700200,1001,34.094803126000045,-118.367417263
19,90318,"1317     18TH ST, SANTA MONICA, CA, 90404",True,Exact,"1317 18TH ST, SANTA MONICA, CA, 90404",141559394,L,06,037,701502,1011,34.02820647000004,-118.48311489599996
20,90317,"1317     15TH ST, TROY, NY, 12180",True,Exact,"1317 15TH ST, TROY, NY, 12180",35729566,L,36,083,040702,1021,42.72376752100007,-73.67906981699997
